Product ID,Product Name,Price,Product URL
ductItem57449264,갤럭시 GALAX 지포스 RTX 4060 WHITE OC D6 8GB,"447,680",https://prod.danawa.com/info/?pcode=57449264&cate=112753&adinflow=Y
ductItem61817939,ASUS PRIME 지포스 RTX 4070 SUPER O12G OC D6X 12GB 인텍앤컴퍼니,"935,180",https://prod.danawa.com/info/?pcode=61817939&cate=112753&adinflow=Y
ductItem32861312,MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 D6X 12GB 트라이프로져3,"978,000",https://prod.danawa.com/info/?pcode=32861312&cate=112753&adinflow=Y
ductItem46003205,이엠텍 지포스 RTX 3050 STORM X NANO D6 6GB,"258,860",https://prod.danawa.com/info/?pcode=46003205&cate=112753&adinflow=Y
20274764,이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,"558,610",https://prod.danawa.com/info/?pcode=20274764&cate=112753
27161939,이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,"411,470",https://prod.danawa.com/info/?pcode=27161939&cate=112753
33989666,이엠텍 지포스 RTX 4080 SUPER BLACK STORM OC D6X 16GB,"1,601,720",https://prod.danawa.com/info/?pcode=33989666&cate=112753
27507680,이엠텍 지포스 RTX 4060 MIRACLE WHITE D6 8GB,"431,340",https://prod.danawa.com/info/?pcode=27507680&cate=112753
33421631,MSI 지포스 RTX 4070 Ti SUPER 게이밍 X 슬림 D6X 16GB 트라이프로져3,"1,278,900",https://prod.danawa.com/info/?pcode=33421631&cate=112753
46003205,이엠텍 지포스 RTX 3050 STORM X NANO D6 6GB,"258,860",https://prod.danawa.com/info/?pcode=46003205&cate=112753
32861312,MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 D6X 12GB 트라이프로져3,"978,000",https://prod.danawa.com/info/?pcode=32861312&cate=112753
27548141,MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 16GB,"628,670",https://prod.danawa.com/info/?pcode=27548141&cate=112753
40580420,이엠텍 지포스 RTX 4070 SUPER MIRACLE X3 WHITE D6X 12GB,"951,820",https://prod.danawa.com/info/?pcode=40580420&cate=112753
20740013,MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,"418,560",https://prod.danawa.com/info/?pcode=20740013&cate=112753
30105218,액슬 라데온 RX 580 2048SP D5 8GB R2 에즈윈,"120,310",https://prod.danawa.com/info/?pcode=30105218&cate=112753
